,u,v
251,6,516
252,6,585
253,6,731
254,6,732
255,6,745
256,6,804
257,6,827
258,6,916
259,6,930
260,6,953
261,6,968
262,6,990
263,7,21
264,7,103
265,7,173
266,7,201
267,7,224
268,7,517
269,7,931
270,8,21
271,8,40
272,8,54
273,8,122
274,8,137
275,8,247
276,8,250
277,8,261
278,8,281
279,8,302
280,8,305
281,8,331
282,8,360
283,8,532
284,8,555
285,8,590
286,8,723
287,8,840
288,8,863
289,9,18
290,9,31
291,9,34
292,9,85
293,9,91
294,9,114
295,9,121
296,9,136
297,9,145
298,9,178
299,9,181
300,9,189
301,9,192
302,9,225
303,9,269
304,9,280
305,9,424
306,9,425
307,9,442
308,9,577
309,9,589
310,9,715
311,9,790
312,9,801
313,9,848
314,10,18
315,10,48
316,10,87
317,10,97
318,10,99
319,10,124
320,10,163
321,10,252
322,10,314
323,10,348
324,10,385
325,10,481
326,10,547
327,10,600
328,10,896
329,10,902
330,10,979
331,11,106
332,11,116
333,11,203
334,11,204
335,11,226
336,11,228
337,11,345
338,11,459
339,11,460
340,11,521
341,11,540
342,11,648
343,11,680
344,11,686
345,11,726
346,11,836
347,11,942
348,12,22
349,12,26
350,12,53
351,12,74
352,12,77
353,12,127
354,12,147
355,12,342
356,12,343
357,12,435
358,12,566
359,12,580
360,12,729
361,12,827
362,12,905
363,12,978
364,13,24
365,13,105
366,13,109
367,13,396
368,13,437
369,13,487
370,13,726
371,14,769
372,14,828
373,15,20
374,15,38
375,15,46
376,15,51
377,15,76
378,15,114
379,15,122
380,15,167
381,15,278
382,15,294
383,15,297
384,15,311
385,15,381
386,15,444
387,15,655
388,15,823
389,15,834
390,15,895
391,15,903
392,15,950
393,15,991
394,16,24
395,16,69
396,16,75
397,16,91
398,16,129
399,16,180
400,16,213
401,16,253
402,16,259
403,16,313
404,16,534
405,16,571
406,16,583
407,16,630
408,16,677
409,16,928
410,16,933
411,16,936
412,16,994
413,17,36
414,17,132
415,17,141
416,17,280
417,17,817
418,17,850
419,17,938
420,18,19
421,18,38
422,18,43
423,18,49
424,18,56
425,18,65
426,18,71
427,18,120
428,18,133
429,18,135
430,18,196
431,18,214
432,18,262
433,18,265
434,18,292
435,18,296
436,18,303
437,18,318
438,18,330
439,18,331
440,18,361
441,18,398
442,18,405
443,18,464
444,18,531
445,18,587
446,18,603
447,18,612
448,18,651
449,18,690
450,18,742
451,18,785
452,18,840
453,18,904
454,18,909
455,18,994
456,19,22
457,19,29
458,19,40
459,19,47
460,19,68
461,19,79
462,19,88
463,19,193
464,19,212
465,19,323
466,19,413
467,19,468
468,19,591
469,19,676
470,19,695
471,19,856
472,19,924
473,20,35
474,20,47
475,20,50
476,20,53
477,20,55
478,20,74
479,20,100
480,20,104
481,20,107
482,20,123
483,20,194
484,20,277
485,20,324
486,20,346
487,20,352
488,20,375
489,20,378
490,20,416
491,20,504
492,20,530
493,20,545
494,20,596
495,20,637
496,20,734
497,20,774
498,20,925
499,20,981
500,21,30
501,21,61
502,21,63
503,21,67
504,21,80
505,21,99
506,21,108
507,21,112
508,21,154
509,21,228
510,21,245
511,21,301
512,21,330
513,21,342
514,21,355
515,21,388
516,21,397
517,21,403
518,21,407
519,21,420
520,21,441
521,21,457
522,21,543
523,21,835
524,21,932
525,21,947
526,22,25
527,22,60
528,22,63
529,22,123
530,22,262
531,22,354
532,22,866
533,24,52
534,24,58
535,24,160
536,24,489
537,25,44
538,25,158
539,25,371
540,25,530
541,25,683
542,26,30
543,26,32
544,26,51
545,26,64
546,26,95
547,26,139
548,26,170
549,26,177
550,26,185
551,26,208
552,26,408
553,26,413
554,26,495
555,26,542
556,26,581
557,26,657
558,26,810
559,26,831
560,26,880
561,26,913
562,26,947
563,26,976
564,26,982
565,27,372
566,27,552
567,27,619
568,27,808
569,27,992
570,28,72
571,28,111
572,28,139
573,28,161
574,28,186
575,28,195
576,28,260
577,28,321
578,28,368
579,28,374
580,28,403
581,28,653
582,28,674
583,28,700
584,28,702
585,28,747
586,30,31
587,30,84
588,30,120
589,30,151
590,30,198
591,30,248
592,30,302
593,30,467
594,30,541
595,30,563
596,30,621
597,30,667
598,30,694
599,30,772
600,31,49
601,31,66
602,31,76
603,31,90
604,31,96
605,31,100
606,31,102
607,31,171
608,31,206
609,31,244
610,31,251
611,31,267
612,31,277
613,31,283
614,31,293
615,31,294
616,31,351
617,31,360
618,31,368
619,31,428
620,31,445
621,31,455
622,31,551
623,31,562
624,31,563
625,31,661
626,31,722
627,31,754
628,31,865
629,31,893
630,31,954
631,32,35
632,32,37
633,32,39
634,32,64
635,32,81
636,32,98
637,32,197
638,32,243
639,32,420
640,32,479
641,32,522
642,32,664
643,32,743
644,32,744
645,32,785
646,32,814
647,32,836
648,32,963
649,32,989
650,33,66
651,33,77
652,33,113
653,33,138
654,33,161
655,33,184
656,33,279
657,33,439
658,33,504
659,33,533
660,33,597
661,33,668
662,33,881
663,33,918
664,34,58
665,34,78
666,34,164
667,34,170
668,34,379
669,34,554
670,34,605
671,34,609
672,34,681
673,34,689
674,34,844
675,34,943
676,34,966
677,35,44
678,35,50
679,35,73
680,35,75
681,35,80
682,35,88
683,35,96
684,35,126
685,35,169
686,35,316
687,35,417
688,35,445
689,35,447
690,35,487
691,35,556
692,35,775
693,35,809
694,35,829
695,35,885
696,36,57
697,36,67
698,36,736
699,36,808
700,36,931
701,36,974
702,37,578
703,38,125
704,38,510
705,38,838
706,39,42
707,39,640
708,39,926
709,40,52
710,40,104
711,40,148
712,40,242
713,40,276
714,40,318
715,40,644
716,40,873
717,42,72
718,43,133
719,43,176
720,43,204
721,43,650
722,43,714
723,43,942
724,44,107
725,44,577
726,44,588
727,44,592
728,44,679
729,44,968
730,44,971
731,45,90
732,45,197
733,45,575
734,45,581
735,45,758
736,45,946
737,46,222
738,46,234
739,46,249
740,46,478
741,47,144
742,47,303
743,47,595
744,47,710
745,47,747
746,47,927
747,48,56
748,48,79
749,48,152
750,48,245
751,48,436
752,48,510
753,48,582
754,48,614
755,49,97
756,49,355
757,49,632
758,49,828
759,50,59
760,50,182
761,50,317
762,50,412
763,50,568
764,51,209
765,51,600
766,52,255
767,52,325
768,52,654
769,53,404
770,53,485
771,53,649
772,53,694
773,53,755
774,54,59
775,54,266
776,54,475
777,54,613
778,54,713
779,55,60
780,55,89
781,55,253
782,55,356
783,55,672
784,55,769
785,56,92
786,56,697
787,56,964
788,57,482
789,58,267
790,58,619
791,58,943
792,59,61
793,59,85
794,59,119
795,59,140
796,59,155
797,59,165
798,59,168
799,59,178
800,59,181
801,59,189
802,59,272
803,59,312
804,59,350
805,59,402
806,59,409
807,59,493
808,59,499
809,59,565
810,59,568
811,59,572
812,59,667
813,59,724
814,59,748
815,59,870
816,59,914
817,59,940
818,59,941
819,60,103
820,61,183
821,61,235
822,61,337
823,61,501
824,61,791
825,61,818
826,61,886
827,62,287
828,62,477
829,62,868
830,63,319
831,63,388
832,63,390
833,63,440
834,63,684
835,63,811
836,63,872
837,63,983
838,64,86
839,64,93
840,64,109
841,64,273
842,64,422
843,64,585
844,64,620
845,64,692
846,64,807
847,65,143
848,65,205
849,65,308
850,65,400
851,65,406
852,65,617
853,65,758
854,65,823
855,66,196
856,66,221
857,66,264
858,66,470
859,67,83
860,67,270
861,67,366
862,67,462
863,67,465
864,67,580
865,67,642
866,67,894
867,67,922
868,68,210
869,68,288
870,68,337
871,68,996
872,69,579
873,69,858
874,70,672
875,71,134
876,71,145
877,71,154
878,71,179
879,71,202
880,71,357
881,71,379
882,71,389
883,72,73
884,72,105
885,72,153
886,72,162
887,72,249
888,72,440
889,72,651
890,72,923
891,72,936
892,72,950
893,72,997
894,73,113
895,73,126
896,73,128
897,73,232
898,73,391
899,74,165
900,74,222
901,74,316
902,74,356
903,74,452
904,75,320
905,75,328
906,75,878
907,75,984
908,76,180
909,76,246
910,76,284
911,76,341
912,76,448
913,76,615
914,76,710
915,76,796
916,77,102
917,77,153
918,77,226
919,77,288
920,77,593
921,78,129
922,78,867
923,78,967
924,79,82
925,79,136
926,79,138
927,79,175
928,79,187
929,79,237
930,79,241
931,79,297
932,79,353
933,79,524
934,79,596
935,79,623
936,79,662
937,79,709
938,79,772
939,79,783
940,79,856
941,79,979
942,80,83
943,80,108
944,80,257
945,80,611
946,80,645
947,81,87
948,81,254
949,81,437
950,81,454
951,82,156
952,82,291
953,82,422
954,82,513
955,82,528
956,82,615
957,82,843
958,82,961
959,83,174
960,83,190
961,83,218
962,83,287
963,83,449
964,83,474
965,83,541
966,83,678
967,83,985
968,84,118
969,84,128
970,84,217
971,84,232
972,84,324
973,84,415
974,84,438
975,84,461
976,84,522
977,84,679
978,84,781
979,84,799
980,84,846
981,84,922
982,85,116
983,85,174
984,85,307
985,85,419
986,85,466
987,86,111
988,86,188
989,86,282
990,86,347
991,86,472
992,87,119
993,87,247
994,87,948
995,87,971
996,87,984
997,88,110
998,88,140
999,88,315
1000,88,400
1001,88,457
1002,88,465
1003,88,701
1004,88,737
1005,89,163
1006,89,472
1007,89,502
1008,89,653
1009,89,682
1010,89,861
1011,91,131
1012,91,505
1013,93,131
1014,93,258
1015,93,430
1016,93,452
1017,93,473
1018,94,269
1019,94,652
1020,95,101
1021,95,143
1022,95,306
1023,95,549
1024,96,115
1025,97,832
1026,98,632
1027,98,733
1028,98,768
1029,98,890
1030,100,148
1031,100,236
1032,100,889
1033,101,162
1034,101,168
1035,101,172
1036,101,211
1037,101,239
1038,101,241
1039,101,358
1040,101,492
1041,101,536
1042,101,636
1043,102,182
1044,102,223
1045,102,224
1046,102,310
1047,102,358
1048,102,411
1049,102,478
1050,102,481
1051,102,561
1052,102,656
1053,102,661
1054,102,844
1055,102,869
1056,103,574
1057,104,149
1058,104,190
1059,104,309
1060,104,322
1061,104,352
1062,104,384
1063,104,410
1064,104,419
1065,104,507
1066,104,534
1067,104,569
1068,104,594
1069,104,696
1070,104,702
1071,104,723
1072,104,743
1073,104,855
1074,104,902
1075,104,908
1076,104,926
1077,104,932
1078,105,110
1079,105,186
1080,105,430
1081,105,502
1082,105,535
1083,105,539
1084,106,142
1085,106,231
1086,106,428
1087,106,439
1088,106,795
1089,108,118
1090,108,244
1091,108,426
1092,108,555
1093,108,798
1094,109,142
1095,109,198
1096,109,363
1097,109,438
1098,110,503
1099,110,529
1100,110,721
1101,111,185
1102,112,203
1103,112,334
1104,112,780
1105,112,967
1106,113,171
1107,113,654
1108,114,121
1109,114,130
1110,114,252
1111,114,255
1112,114,285
1113,114,308
1114,114,323
1115,114,375
1116,114,500
1117,114,564
1118,114,595
1119,114,609
1120,114,813
1121,114,833
1122,114,977
1123,114,983
1124,115,340
1125,116,295
1126,116,332
1127,116,474
1128,117,194
1129,117,784
1130,118,173
1131,118,369
1132,118,384
1133,118,910
1134,118,911
1135,118,961
1136,119,146
1137,119,685
1138,119,865
1139,119,965
1140,120,183
1141,120,359
1142,120,610
1143,120,673
1144,120,940
1145,121,160
1146,121,216
1147,121,378
1148,121,483
1149,121,508
1150,121,511
1151,121,648
1152,121,699
1153,121,801
1154,122,132
1155,122,195
1156,122,233
1157,122,238
1158,122,344
1159,122,414
1160,122,697
1161,122,706
1162,122,719
1163,122,782
1164,122,786
1165,122,821
1166,122,906
1167,123,134
1168,123,544
1169,123,549
1170,124,176
1171,124,193
1172,124,641
1173,124,709
1174,124,957
1175,125,826
1176,126,668
1177,127,254
1178,127,820
1179,127,949
1180,128,187
1181,128,341
1182,128,527
1183,128,670
1184,128,748
1185,128,853
1186,129,152
1187,129,199
1188,129,237
1189,129,238
1190,129,646
1191,129,675
1192,129,711
1193,129,889
1194,130,177
1195,130,200
1196,130,209
1197,130,290
1198,130,364
1199,130,383
1200,130,416
1201,130,467
1202,130,571
1203,130,762
1204,130,784
1205,130,795
1206,130,806
1207,132,215
1208,132,377
1209,132,659
1210,132,678
1211,132,741
1212,134,348
1213,134,359
1214,134,418
1215,134,431
1216,134,587
1217,134,604
1218,134,717
1219,134,765
1220,134,952
1221,135,274
1222,135,299
1223,135,385
1224,135,394
1225,135,556
1226,135,602
1227,135,646
1228,135,830
1229,135,919
1230,135,951
1231,135,989
1232,136,688
1233,137,351
1234,137,486
1235,137,500
1236,137,548
1237,137,567
1238,137,689
1239,138,879
1240,139,225
1241,139,268
1242,139,417
1243,139,517
1244,139,739
1245,140,156
1246,140,240
1247,140,674
1248,141,164
1249,141,321
1250,141,553
1251,141,586
1252,143,192
1253,143,447
1254,143,633
1255,143,720
1256,145,211
1257,145,751
1258,145,857
1259,145,886
1260,147,150
1261,147,701
1262,147,750
1263,147,786
1264,147,806
1265,147,921
1266,147,925
1267,147,928
1268,147,962
1269,148,553
1270,149,289
1271,149,771
1272,150,639
1273,151,230
1274,151,317
1275,151,434
1276,151,547
1277,151,574
1278,151,637
1279,151,708
1280,152,264
1281,152,507
1282,152,582
1283,152,625
1284,152,862
1285,153,282
1286,154,229
1287,154,236
1288,154,240
1289,154,433
1290,154,656
1291,154,728
1292,155,201
1293,155,208
1294,155,365
1295,155,406
1296,155,513
1297,156,869
1298,157,221
1299,157,404
1300,158,528
1301,158,540
1302,159,364
1303,159,455
1304,160,217
1305,160,307
1306,160,371
1307,160,464
1308,160,588
1309,161,206
1310,161,210
1311,161,298
1312,161,326
1313,161,333
1314,161,336
1315,161,386
1316,161,410
1317,161,463
1318,161,471
1319,161,486
1320,161,514
1321,161,670
1322,161,712
1323,161,859
1324,162,320
1325,162,366
1326,162,946
1327,163,476
1328,164,339
1329,164,399
1330,164,730
1331,165,215
1332,165,218
1333,165,248
1334,165,251
1335,165,270
1336,165,427
1337,165,536
1338,165,592
1339,165,771
1340,165,845
1341,165,987
1342,166,179
1343,167,509
1344,168,207
1345,168,234
1346,168,374
1347,168,450
1348,168,516
1349,168,570
1350,168,576
1351,171,298
1352,171,380
1353,171,519
1354,171,682
1355,171,899
1356,172,214
1357,172,250
1358,172,286
1359,173,450
1360,173,783
1361,173,958
1362,174,432
1363,174,881
1364,175,408
1365,176,387
1366,176,564
1367,176,819
1368,177,227
1369,177,263
1370,177,314
1371,177,466
1372,177,484
1373,177,966
1374,178,202
1375,178,326
1376,178,357
1377,178,397
1378,178,512
1379,178,647
1380,178,746
1381,179,496
1382,179,499
1383,179,891
1384,179,900
1385,180,473
1386,180,721
1387,180,860
1388,180,969
1389,181,284
1390,181,309
1391,181,339
1392,181,501
1393,182,695
1394,185,239
1395,185,242
1396,185,283
1397,185,300
1398,185,335
1399,185,826
1400,186,235
1401,186,405
1402,186,562
1403,186,572
1404,186,765
1405,187,402
1406,187,520
1407,188,509
1408,188,567
1409,189,246
1410,189,271
1411,189,347
1412,189,421
1413,189,449
1414,189,666
1415,189,782
1416,189,901
1417,189,933
1418,190,533
1419,190,669
1420,191,338
1421,193,992
1422,194,332
1423,194,346
1424,194,488
1425,194,892
1426,195,383
1427,195,939
1428,197,219
1429,197,392
1430,197,409
1431,197,511
1432,198,698
1433,198,793
1434,200,223
1435,200,281
1436,201,425
1437,202,753
1438,203,662
1439,204,290
1440,204,818
1441,205,207
1442,205,614
1443,205,680
1444,205,811
1445,205,866
1446,206,490
1447,207,658
1448,208,387
1449,208,719
1450,208,877
1451,209,263
1452,209,310
1453,209,773
1454,210,275
1455,210,687
1456,211,325
1457,211,677
1458,212,650
1459,213,423
1460,214,233
1461,214,451
1462,214,907
1463,216,266
1464,216,272
1465,216,829
1466,218,315
1467,218,329
1468,218,401
1469,218,660
1470,219,301
1471,219,920
1472,219,957
1473,220,693
1474,221,376
1475,221,421
1476,221,573
1477,221,736
1478,222,480
1479,222,538
1480,223,349
1481,223,367
1482,223,369
1483,223,459
1484,224,692
1485,225,313
1486,225,362
1487,225,618
1488,225,876
1489,228,657
1490,228,951
1491,229,579
1492,230,382
1493,231,599
1494,232,256
1495,234,327
1496,234,336
1497,234,608
1498,234,897
1499,235,715
1500,236,372
1501,237,545
1502,237,652
1503,238,693
1504,243,261
1505,243,295
1506,244,407
1507,244,554
1508,245,300
1509,245,882
1510,247,546
1511,247,734
1512,247,935
1513,248,275
1514,248,897
1515,250,296
1516,250,812
1517,252,304
1518,252,482
1519,252,627
1520,253,412
1521,253,756
1522,255,561
1523,256,610
1524,257,274
1525,257,376
1526,257,492
1527,258,273
1528,258,713
1529,258,804
1530,258,875
1531,259,304
1532,259,711
1533,259,851
1534,260,276
1535,260,289
1536,260,291
1537,260,353
1538,260,442
1539,260,463
1540,260,489
1541,260,493
1542,260,725
1543,260,746
1544,261,909
1545,262,389
1546,264,411
1547,264,423
1548,265,797
1549,265,972
1550,266,598
1551,266,671
1552,267,395
1553,267,542
1554,267,543
1555,267,605
1556,267,676
1557,267,802
1558,267,871
1559,269,560
1560,271,535
1561,271,724
1562,271,833
1563,272,706
1564,274,305
1565,274,311
1566,274,367
1567,274,479
1568,274,843
1569,274,997
1570,275,503
1571,275,622
1572,275,638
1573,275,770
1574,275,822
1575,275,868
1576,275,920
1577,275,945
1578,277,393
1579,278,525
1580,278,529
1581,279,306
1582,279,386
1583,279,714
1584,280,370
1585,280,787
1586,280,863
1587,282,322
1588,282,635
1589,282,800
1590,283,873
1591,285,335
1592,285,558
1593,285,735
1594,286,454
1595,288,887
1596,288,924
1597,292,434
1598,293,456
1599,293,763
1600,293,799
1601,294,584
1602,294,965
1603,295,591
1604,296,986
1605,297,333
1606,297,496
1607,297,532
1608,299,647
1609,299,805
1610,300,849
1611,301,488
1612,301,766
1613,301,794
1614,302,813
1615,303,491
1616,304,779
1617,305,519
1618,305,910
1619,306,955
1620,308,334
1621,308,707
1622,310,788
1623,310,815
1624,311,390
1625,311,686
1626,312,526
1627,314,453
1628,317,846
1629,318,880
1630,318,885
1631,320,607
1632,322,494
1633,322,573
1634,322,625
1635,324,365
1636,324,929
1637,325,601
1638,326,370
1639,326,446
1640,326,537
1641,326,930
1642,326,935
1643,327,624
1644,328,515
1645,329,867
1646,331,340
1647,331,923
1648,332,635
1649,335,735
1650,335,890
1651,337,611
1652,337,683
1653,338,398
1654,338,497
1655,338,627
1656,338,722
1657,338,803
1658,338,916
1659,338,962
1660,339,424
1661,339,616
1662,340,485
1663,340,973
1664,341,623
1665,342,429
1666,343,622
1667,343,956
1668,345,514
1669,349,684
1670,349,764
1671,349,824
1672,350,770
1673,350,974
1674,352,874
1675,355,948
1676,355,954
1677,356,738
1678,356,980
1679,357,471
1680,359,526
1681,359,705
1682,359,913
1683,360,708
1684,360,749
1685,360,816
1686,361,380
1687,361,822
1688,361,884
1689,362,391
1690,363,432
1691,363,469
1692,363,597
1693,363,834
1694,363,851
1695,363,937
1696,364,578
1697,366,636
1698,366,848
1699,371,779
1700,371,875
1701,374,794
1702,374,796
1703,378,590
1704,379,599
1705,380,462
1706,382,512
1707,382,552
1708,383,427
1709,383,490
1710,383,620
1711,385,461
1712,385,477
1713,385,744
1714,386,443
1715,387,443
1716,387,583
1717,387,802
1718,387,915
1719,388,483
1720,388,707
1721,388,905
1722,388,995
1723,391,998
1724,392,395
1725,392,518
1726,392,603
1727,393,908
1728,395,429
1729,396,956
1730,397,557
1731,397,964
1732,399,551
1733,399,792
1734,402,565
1735,402,666
1736,404,458
1737,404,537
1738,404,538
1739,404,917
1740,407,470
1741,407,495
1742,407,691
1743,407,776
1744,411,531
1745,411,720
1746,412,699
1747,412,727
1748,414,426
1749,416,825
1750,417,431
1751,417,497
1752,417,525
1753,419,703
1754,422,506
1755,423,544
1756,423,550
1757,423,915
1758,424,448
1759,426,521
1760,426,616
1761,428,589
1762,431,914
1763,432,498
1764,432,733
1765,432,766
1766,432,919
1767,433,559
1768,433,621
1769,433,629
1770,433,883
1771,433,999
1772,434,460
1773,435,641
1774,438,505
1775,438,737
1776,438,815
1777,440,939
1778,442,601
1779,442,660
1780,444,476
1781,446,451
1782,447,663
1783,448,633
1784,449,831
1785,451,718
1786,455,468
1787,455,469
1788,455,518
1789,455,740
1790,455,849
1791,455,854
1792,455,888
1793,455,907
1794,465,972
1795,467,546
1796,467,618
1797,470,491
1798,471,975
1799,472,850
1800,473,716
1801,473,778
1802,473,780
1803,475,757
1804,478,841
1805,482,508
1806,482,515
1807,482,631
1808,482,634
1809,482,789
1810,483,602
1811,483,842
1812,484,738
1813,484,998
1814,486,569
1815,486,847
1816,486,990
1817,487,645
1818,487,987
1819,489,604
1820,492,631
1821,493,669
1822,493,855
1823,493,918
1824,494,664
1825,495,617
1826,495,739
1827,496,696
1828,500,558
1829,502,982
1830,504,703
1831,505,560
1832,506,638
1833,506,704
1834,506,817
1835,506,917
1836,507,988
1837,509,575
1838,509,777
1839,510,963
1840,515,718
1841,515,960
1842,516,523
1843,516,559
1844,516,852
1845,517,797
1846,518,527
1847,518,624
1848,518,996
1849,520,642
1850,520,800
1851,521,830
1852,528,593
1853,528,658
1854,528,838
1855,529,704
1856,530,566
1857,530,752
1858,530,781
1859,531,717
1860,531,973
1861,535,640
1862,535,898
1863,536,634
1864,539,649
1865,540,877
1866,541,742
1867,541,949
1868,543,745
1869,544,665
1870,545,685
1871,546,675
1872,550,912
1873,553,606
1874,553,644
1875,553,970
1876,554,643
1877,554,792
1878,556,586
1879,556,691
1880,559,612
1881,559,741
1882,561,960
1883,563,874
1884,564,837
1885,565,698
1886,567,751
1887,570,896
1888,572,732
1889,577,630
1890,577,687
1891,577,887
1892,580,864
1893,581,584
1894,584,690
1895,588,628
1896,588,671
1897,588,729
1898,589,761
1899,591,759
1900,595,643
1901,596,673
1902,597,665
1903,597,878
1904,597,892
1905,598,759
1906,599,607
1907,599,727
1908,607,820
1909,609,894
1910,611,752
1911,611,761
1912,618,810
1913,619,725
1914,621,888
1915,623,659
1916,623,958
1917,635,845
1918,635,952
1919,635,975
1920,640,755
1921,640,776
1922,643,821
1923,649,938
1924,656,809
1925,667,778
1926,669,839
1927,670,876
1928,670,882
1929,677,981
1930,678,859
1931,680,716
1932,686,912
1933,688,929
1934,688,970
1935,689,749
1936,689,753
1937,692,832
1938,694,760
1939,695,760
1940,695,764
1941,699,730
1942,706,763
1943,711,853
1944,715,775
1945,719,740
1946,720,839
1947,722,731
1948,722,903
1949,723,807
1950,725,803
1951,725,812
1952,728,871
1953,730,768
1954,733,777
1955,737,767
1956,737,798
1957,737,959
1958,740,852
1959,741,814
1960,746,906
1961,748,773
1962,748,791
1963,750,959
1964,753,789
1965,768,824
1966,770,893
1967,779,816
1968,779,898
1969,780,837
1970,783,921
1971,783,934
1972,785,787
1973,790,883
1974,791,825
1975,791,857
1976,795,941
1977,808,980
1978,813,862
1979,813,945
1980,819,895
1981,823,842
1982,824,847
1983,847,861
1984,848,986
1985,855,864
1986,856,872
1987,863,884
1988,870,944
1989,879,937
1990,903,927
1991,920,955
1992,922,944
1993,931,993
1994,943,988
1995,968,999
